reporting_airline,airport,n,x,y
Delta Air Lines,ATW,1491,910545.9787089666,-17980.838455885427
Delta Air Lines,AUS,13053,225823.07315140465,-1638702.7618488022
Delta Air Lines,AVL,1247,1573260.496368321,-898595.7508630514
Delta Air Lines,AVP,704,1991198.0849717765,-109115.6693125776
Delta Air Lines,BDL,8681,2208123.028463688,33971.4893617478
Delta Air Lines,BGR,178,2383155.416950591,448230.00171095855
Delta Air Lines,BHM,6246,1227516.423781454,-1173804.5684248093
Delta Air Lines,BIL,2123,-660622.9347007086,124849.8707744144
Delta Air Lines,BIS,983,-56761.23657923168,197379.0320391729
Delta Air Lines,BMI,124,934761.0119854604,-439927.8385468958
Delta Air Lines,BNA,12166,1193955.4135102862,-891176.9680870201
Delta Air Lines,BOI,2149,-1296364.617988922,-29797.04410178459
Delta Air Lines,BOS,31957,2320658.4485041024,126152.13380139158
Delta Air Lines,BTR,560,852622.9227781038,-1560726.580584646
Delta Air Lines,BTV,660,2081633.9139069868,291754.6637769176
Delta Air Lines,BUF,4997,1707245.286740146,-4371.266382491431
Delta Air Lines,BWI,14397,1980887.5167152977,-365563.636502196
Delta Air Lines,BZN,2590,-861247.8507503188,146078.48264388298
Delta Air Lines,CAE,2773,1732229.9363832832,-1034291.950153118
Delta Air Lines,CAK,2510,1543868.6042368207,-278981.2055969662
Delta Air Lines,CHA,1604,1343802.2515410231,-988662.7524391398
Delta Air Lines,CHO,676,1861883.5091587077,-519412.35413098417
Delta Air Lines,CHS,7870,1853007.6958618572,-1124845.6869020823
Delta Air Lines,CID,670,685025.5455007816,-311739.8633571619
Delta Air Lines,CLE,5997,1498726.2792607923,-232627.15593650908
Delta Air Lines,CLT,11884,1718765.594159813,-891788.5105128315
Delta Air Lines,CMH,7224,1445821.7184349983,-405735.9494879742
Delta Air Lines,COS,678,-407608.2995632326,-676916.7449861787
Delta Air Lines,CRW,684,1591102.2516075892,-559149.5297086491
Delta Air Lines,CVG,14585,1316490.950820449,-539409.9479712159
Delta Air Lines,DAB,3278,1838701.06675774,-1551799.0940549509
Delta Air Lines,DAL,3366,295794.1446696455,-1343507.98461109
Delta Air Lines,DAY,2740,1337337.3311413545,-438530.28268780926
Delta Air Lines,DCA,18057,1959959.090984065,-409479.41835946374
Delta Air Lines,DEN,20096,-398957.8437938119,-559911.2634607605
Delta Air Lines,DFW,11286,278083.31647186854,-1338465.2155458855
Delta Air Lines,DSM,1960,527073.5637794238,-365025.8008899143
Delta Air Lines,DTW,112923,1359641.697254995,-170996.60408534826
Delta Air Lines,ECP,3988,1366547.510727577,-1511044.3472759733
Delta Air Lines,EGE,196,-591915.5806713243,-570781.3448486088
Delta Air Lines,ELP,1738,-605825.3288960081,-1441254.1790057654
Delta Air Lines,EVV,667,1089175.423614218,-691767.6586792752
Delta Air Lines,EWR,11044,2135095.905011877,-139210.669492847
Delta Air Lines,EYW,2360,1858569.7832042675,-2069388.495473156
Delta Air Lines,FAR,1581,241816.32110393248,218351.52326654957
