airline,airport,Arrival,Departure,yearly_passengers,hub_type
American,ABQ,3.058869399227421,3.381673741479823,2478864,Medium
American,ALB,3.080778194927219,3.2092453716882705,1403020,Small
American,AMA,2.9451352517184337,3.7248838511317865,342879,Nonhub
American,ATL,2.568195443959735,2.9245280656129236,44302796,Large
American,AUS,2.5139578333374986,2.9700752452828354,6804711,Medium
American,BDL,2.7725565397428453,2.838713981958818,3030170,Medium
American,BNA,2.858337169385934,3.3293893171550017,7032020,Medium
American,BOI,3.081118348042487,3.2736487391714366,1815646,Medium
American,BOS,1.8719363638439048,2.353722114075658,15237896,Large
American,BUF,3.1312174610024175,3.129851260273678,2358366,Medium
American,BWI,2.718446781616501,3.0454612097391416,12602673,Large
American,BZN,3.3426319646763583,3.161505176486269,599532,Small
American,CHS,2.882428721070018,3.10363057375034,1964028,Medium
American,CLE,3.0325875908022315,3.1192742730563703,4387828,Medium
American,CLT,2.052410957744203,2.4029693700665,20561398,Large
American,CMH,2.724519555673063,3.1889946740975907,3698549,Medium
American,COS,3.0848996244598967,3.041627069080685,855384,Small
American,CRP,3.3654573556014986,3.8050433979212177,325375,Nonhub
American,CVG,3.067107718635948,3.4460276049620937,3682528,Medium
American,DAB,3.6638172890309075,3.390168294594869,347701,Nonhub
American,DAY,3.0463557493190203,3.3073724613513473,937013,Small
American,DCA,1.9155869746056753,2.639207398331448,11322002,Large
American,DEN,2.466733858511582,3.093038039377374,28665829,Large
American,DFW,1.898514594337828,2.2335833261362152,27504431,Large
American,DSM,2.9636518838987773,3.296658282915601,1274284,Small
American,DTW,2.5280177170972884,3.0139856782396897,15360788,Large
American,EGE,2.433996482787803,2.911139079134558,153929,Nonhub
American,ELP,2.8694384970057887,3.238199819199185,1471203,Small
American,EWR,2.711208203898685,2.651201906315746,14979573,Large
American,FAT,2.8602829123845748,3.3596664730894528,653291,Small
American,FLL,2.559247692098079,2.9624487461458338,11909355,Large
American,GEG,3.098184357449882,3.198455482347763,1704995,Small
American,GSO,3.2856820808635634,3.483670054902633,887590,Small
American,GSP,2.9258875500563986,3.3036864546810216,1057036,Small
American,GUC,2.7575622499108046,3.0262266566124927,32242,Nonhub
American,HDN,3.3097738030612494,3.469057619246303,96451,Nonhub
American,IAD,2.8276506624411835,3.05690472173766,7225049,Large
American,IAH,2.7233707619124083,2.879486529404162,14408530,Large
American,ICT,3.263472990980451,3.440063872885137,808028,Small
American,ILM,3.140114460506174,3.2285844853486547,423692,Small
American,IND,3.0116492585238794,3.1747106303632924,4375012,Medium
American,JAC,2.670516054586976,2.8478230539470766,341593,Nonhub
American,JAX,3.0224032517025923,3.246914634833878,2715992,Medium
American,JFK,1.971935515949311,2.7067699631347977,12837248,Large
American,LAS,2.203965313986933,2.9577822310172057,21465771,Large
American,LAX,1.9534399490155367,3.010415985443193,27223888,Large
American,LBB,3.2140170717996153,3.3821909962059116,467822,Small
American,LGA,1.5511671993099119,2.4636938921442515,13566621,Large
American,MCI,2.8015723442705314,3.2592618854610285,5768376,Medium
American,MCO,2.3792507283743927,2.4951172262528156,18228163,Large
American,MDT,2.9225763324128886,3.096217649397137,580349,Small
American,MEM,2.7454661769535527,3.2203113424352585,2126350,Medium
American,MFE,2.830562970642577,3.440528631160056,329155,Nonhub
American,MHT,3.4254608840578458,3.7008362252992297,971779,Small
American,MIA,2.3206151320625485,2.87066175214033,9787986,Large
American,MKE,2.8215371915885434,3.196909040070559,3421109,Medium
American,MSP,2.5520686449371093,3.052842426361062,16811418,Large
American,MSY,2.538340698528101,2.937549365270243,6042814,Medium
American,MTJ,3.2397305593757633,3.3013561813158385,123531,Nonhub
American,MYR,3.3294098877880978,3.304939935168204,1147156,Small
American,OAK,3.1826271973075486,3.1662296713076343,5826529,Medium
American,OKC,3.0987060607499353,3.286010962886477,1955060,Medium
American,OMA,2.858649890610475,3.3285332208436085,2293262,Medium
American,ONT,2.8375522812027527,3.2675670128699377,2220963,Medium
American,ORD,1.87538574601239,2.1888240117580082,31992302,Large
American,ORF,2.9330531257599883,3.2816368496357105,1709002,Small
American,PBI,2.696638146018864,2.8647539079730553,3053722,Medium
American,PDX,2.7700472825168445,3.1100197025643235,8685344,Large
American,PHL,2.0794975525302086,2.416741036996104,12363030,Large
American,PHX,2.245095507740206,2.5862041090121366,20146404,Large
American,PIT,2.6504975364855756,3.2383963468668617,4246005,Medium
American,PNS,3.118592124404852,3.140001606465769,850292,Small
