airport,x,y
6GA6,1561983.9208152015,-1174422.624481356
9GA6,1542265.2010568706,-1170374.351952624
2J5,1677913.3992787767,-1165483.750753729
77GA,1466985.108146571,-1177441.2053718863
D73,1502989.5239224685,-1100580.5294791772
GA38,1497499.0522293677,-1099673.9108063295
67GA,1511065.925023328,-1090304.965760823
1GA9,1507031.7736495861,-1102169.774964195
53A,1501592.1193977136,-1268135.6909267465
GA06,1508373.799964123,-1150466.2430760134
4GE3,1574029.611415345,-1231793.3876051002
17GA,1401901.9357028445,-1155278.647597946
13GE,1656405.8227384882,-1230529.8997579103
GE14,1597417.9717276306,-1338176.1498509003
2GA1,1490385.171513695,-1114559.539949888
GA31,1419863.623538149,-1151661.0891268183
1GE6,1694204.0527685713,-1334649.068014287
PXE,1519978.6940607326,-1241165.6949733847
PIM,1411258.7444957772,-1224186.8865360236
47GA,1517199.0536112755,-1274566.676719387
44GA,1553816.3129718332,-1280494.8700511775
4GA5,1471586.9984294996,-1297966.930373099
22GA,1367869.0974240277,-1052772.8866976113
OKZ,1596704.773659095,-1174273.8508404433
58GA,1599112.939961481,-1170361.0219076234
SVN,1771560.486591785,-1245250.846948748
SAV,1763892.7088231693,-1233594.0048643088
46GA,1771168.2098765485,-1248205.917888836
GA37,1776447.3475313394,-1241993.0860936781
GA39,1762871.4515839212,-1250125.1824190533
GA35,1745366.7487378593,-1234336.0207830966
64GA,1435043.411242926,-1169906.419774029
2GA8,1367228.341601704,-1061853.967484029
29GA,1424727.1104291205,-1160421.662776501
1GA4,1708811.968566292,-1222944.9321271547
3GA0,1465520.8215378341,-1136640.5935166075
43GA,1459279.7765246448,-1139385.9546277572
7GA7,1463357.0519188314,-1136139.574306667
92GA,1461733.94039551,-1105074.0708871628
GE34,1460723.5416646963,-1104558.8006162036
3GE2,1462751.128535773,-1104001.3317542537
GA87,1456794.2710967038,-1005867.6955506669
GA23,1335522.6050000198,-1041679.0669652572
0GE4,1459081.5405054877,-1160017.7278516681
SBO,1646649.3341331545,-1204407.741983348
93GA,1648987.6063624248,-1205760.1312632833
JYL,1716763.5077512807,-1185146.9072130772
14GE,1325662.5826388113,-1020028.3583036369
86GA,1359539.8800545498,-1004747.6972085914
51GA,1425400.17861944,-1146325.5554011792
94GA,1522715.6689826683,-1268622.9576824398
3GA4,1428429.779392447,-1135278.8968497813
VLD,1597716.324878084,-1421326.9514697362
0GA8,1582605.2658421074,-1412369.9762128543
50GA,1598505.2456175021,-1402039.454923645
7GA2,1604386.7185766394,-1420455.2957812897
VAD,1602039.0584642957,-1399318.2871450395
8GA9,1446885.9582087898,-1168465.5837207895
VDI,1654877.8171745043,-1249926.7409657168
20GA,1395047.7589020336,-1123807.628632712
3GA5,1392239.464711187,-1137797.2004794022
GA51,1693197.9791622385,-1135721.7134031737
2GE1,1669590.0496649242,-1145648.4442626736
GE30,1668383.5617733453,-1130240.6643910608
3GA6,1397098.7621015762,-1144424.5979241012
6GA5,1396184.8289880834,-1143730.6427882665
5GA2,1395893.9817100628,-1144374.5091163118
7GA9,1397149.4915323555,-1144415.4536317894
95GA,1395018.1270199008,-1157727.5575028963
GA2,1452151.6391572123,-1178024.7612574955
5GA3,1452656.7764688288,-1181149.185322402
96GA,1452432.689009911,-1177703.551401802
WDR,1501505.0272561153,-1078205.9283159245
59GA,1497290.5412477276,-1076138.2736793647
4C7,569987.1465274552,-248418.7116243492
4C8,606554.8798661083,-418463.81974611024
IA22,603442.2881967903,-413513.90689021617
AXA,464840.50724023156,-197407.53410889796
K98,586597.6550677277,-222803.44602107475
C11,673328.6525242241,-323106.0663405309
AMW,526659.5936098022,-313952.59952077473
Y43,435813.8870365442,-381943.4399022293
BNW,507594.84968771186,-308996.0542156527
02IA,505164.8390295561,-308427.8570339776
09IA,628899.2274919384,-332716.1817306801
IA70,497278.5369090412,-156232.98157894093
BRL,745915.6992204684,-428631.50825470244
58IA,741718.9118486018,-418898.4994232425
CIN,430118.91670026287,-314695.03098570846
0IA1,423582.9742121209,-314074.50614830526
97IA,378109.0202401826,-405870.4335494109
24IA,612179.6684921101,-248216.4086060359
IA73,687976.1861674716,-300209.6803225359
IA72,688461.9618641348,-300973.0147189083
CWI,799290.0850713863,-305208.3294316405
7IA5,810291.9704177529,-300514.89593823015
16IA,432204.3374996155,-333043.67507240566
CRZ,440117.78606904834,-431336.4677943092
0E9,568980.1938711638,-448457.602591054
IA46,563107.4836364458,-449188.4465098617
CBF,354544.03789159644,-406649.8084516893
IA35,342781.10537413455,-415359.4317061845
6IA2,348160.04019565636,-405936.78619439184
CJJ,634793.2517683762,-151118.20262642668
CSQ,472724.14056691853,-426135.8362891528
6IA4,528252.908862689,-355709.2241710591
IA64,529066.7257564617,-358659.7816080114
IA82,529745.4932254856,-357515.2644353637
IA98,530836.1258049111,-357156.0888819636
1IA2,679410.4516096456,-138407.73594845433
IA10,762645.7268872345,-235397.26846543557
2IA1,761755.0775210831,-234909.68044177536
DBQ,761015.1531241522,-245630.72598909368
FOD,475403.46497476276,-255401.0975476766
IA74,475758.1633241919,-261874.93774361158
FSW,730392.1260320141,-444151.65688543604
GFZ,463660.13036031014,-392673.0033660223
75IA,463342.5422817149,-395285.75316505873
IA09,602070.4351611679,-335554.50769437116
GGI,602271.976517935,-339148.3321096362
6K7,587497.7851080061,-268892.2843346408
GCT,461882.82479960413,-352695.5065112723
IA23,724526.4565492333,-204128.23511818706
IA86,542090.0176658628,-393673.67545013933
IA85,538077.6846173583,-375194.5330004261
6Z6,536937.36401242,-389930.0573411323
IA71,537393.741486917,-382676.75646826206
IA11,530312.3833560352,-391513.1744635235
IA41,536513.8630005206,-377533.2608713619
IOW,701148.5477201693,-337504.2966518577
IA16,704323.7445915792,-329486.39946324576
1IA7,700956.3199576533,-335258.0668587168
IA92,695523.6335997349,-330807.4927420365
IFA,551307.2682478629,-258481.94243235452
2VA,290164.0396786425,-165877.64003493072
IA84,311548.9570391695,-272589.3028084531
LRJ,310605.47666955023,-239767.79997575804
12IA,315039.8188239116,-237111.77787730005
6IA0,526593.7158067503,-452335.67575704283
IA83,474255.5669810845,-210435.79107317282
6IA7,691928.1667831596,-411068.767548057
C27,695743.5377763712,-242852.6840314227
MEY,346551.8652852443,-304837.1839028522
OQW,762930.1793094415,-284846.7033949732
C17,698142.2612373391,-294158.0725269356
IKV,533771.0389012614,-346946.6202324331
AIO,412867.79040602996,-387384.7813278872
IA67,417671.9123103491,-387451.8911141988
ADU,421569.12971207994,-353689.21188716264
0IA2,420051.0025292172,-352300.322858873
Y46,444697.4561378448,-470743.40368921607
TZT,637855.4573106737,-317020.58008598094
15IA,787783.9975144027,-261200.33187828038
Y48,521591.8439082698,-218303.51361732057
IA27,621607.2636196407,-419185.95160901186
63IA,638180.8283224385,-442060.2039739113
4K6,637340.8129418894,-445192.7642543648
CID,685025.5455007816,-311739.8633571619
0IA8,677985.4216259966,-274049.045193726
TVK,598115.8501769614,-454016.2272709348
IA25,601158.4839278242,-445715.53845066944
CNC,556695.2203035244,-420070.18309014407
IA19,561411.5374169975,-418807.1738646708
CCY,599280.4884661324,-187183.0398393128
4IA3,593560.6939036559,-190097.8825148888
CKP,362842.03731084306,-242382.8077647674
IA13,363309.51692653954,-239160.16232681557
ICL,419119.52204125904,-462929.19590741716
CAV,509171.474402382,-231795.26535533168
4IA5,511337.45902898273,-233787.6772200682
4IA0,470713.2368317824,-420985.01787437353
1IA4,469849.5266709149,-422531.81982022856
2IA9,504472.9280873931,-181907.0013749603
39IA,496296.23707288166,-351113.5754794986
DVN,780693.3468590536,-332095.478553573
IA81,781058.4137487859,-339379.8279918865
2IA0,784151.4336717126,-339374.66182256205
DEH,667421.6302118122,-157923.18388097317
IA04,664334.3329115374,-156142.34934377915
DNS,381734.59048161196,-324341.6464917524
DSM,527073.5637794238,-365025.8008899143
IA8,721577.0599850585,-239476.76670921448
EAG,496636.06462188193,-236151.09536478587
99IA,603458.9267047145,-394137.87418081105
I27,701082.1365080932,-202357.85244083853
2IA2,698264.9834382561,-201217.06520482377
EGQ,429631.2356288911,-197097.12664943372
IA79,430474.77950460056,-194965.15283808977
EST,424090.43164392695,-163410.31561441722
FFL,671493.3306862197,-405788.16312021186
7IA6,674430.777003304,-411284.9427472885
FXY,515945.02815589856,-176112.45606849814
2IA5,367122.9197213543,-477133.66907174664
IA31,550690.0282965609,-225726.38928086558
HPT,552663.2403056634,-230197.67415432385
HNR,387541.4780520835,-368759.52679591434
IA55,388306.2828592189,-361732.5124451666
11IA,614349.2492084648,-266560.0752298756
0K7,469617.60827618587,-235328.58454153026
IA90,470800.48612020374,-235449.5287208214
IA37,372983.6689082091,-285511.7516217264
IDG,374317.49446883454,-286168.3514650429
IIB,659448.895510169,-250299.90739198148
EFW,467205.0081215225,-316339.4477833105
3IA2,463210.0882817253,-315873.5671370678
93IA,522113.7107331884,-284377.2202913607
EOK,724148.9050754498,-467091.6158923418
6K9,677516.7470650524,-441077.44844933355
27IA,670468.0144696662,-439898.1222786507
OXV,574746.7965503458,-387392.5061316124
0IA0,574801.6676873819,-385998.15737582813
2IA6,431933.76669293985,-290168.3146538916
0Y6,523455.42460498464,-155549.50400124837
LWD,514380.0558960775,-466534.5644641154
6IA8,585134.9718133087,-302708.928169425
MIW,583492.4309609625,-295801.70347977406
MCW,540264.3292846992,-182753.23637997994
73IA,549486.2237125315,-173309.34661487752
IA88,789432.6183395354,-320555.4737012733
0IA4,748272.6809535458,-400965.6799166034
0IA9,730744.0402353927,-424616.83351244923
4D8,391310.58640185924,-173697.90073578455
0IA5,566089.7515111228,-435751.2638607307
90IA,342255.14262855577,-376087.1808893313
7C5,620492.9514342665,-355560.8322162893
MXO,726149.8624374244,-269857.4073986682
1Y3,487055.39616015623,-460256.24979638826
MPZ,711852.5923322088,-413927.1324135695
2IA3,707580.6085843141,-412683.7842563805
MUT,737291.250389808,-364092.36519929394
8IA0,744226.907451845,-355952.2857238321
1IA5,540343.6075887602,-310032.6010932237
7IA7,623353.4769532629,-183739.8690740546
1Y5,620752.0088984881,-183554.91885240347
IA50,622706.9713209319,-186036.40026981386
IA34,615080.2902056684,-383826.7234117012
OOA,627026.3234114635,-390956.0166030473
OTM,632079.9133499331,-403773.58974753896
3IA6,637507.7125864017,-412013.7279492257
IA24,685568.3632159731,-325853.7868954342
04IA,665000.9250105531,-402772.55409870547
1Y9,352518.5220779296,-214369.80391865972
PEA,587775.2732791712,-374884.3528875578
7IA9,590452.0581620311,-373369.1707837848
PRO,483630.8924127402,-335633.5321944025
POH,436825.8915318555,-236664.48273916676
IA48,520208.9696099844,-342385.84069035767
42IA,305318.2655295516,-297572.4609833664
SHL,337569.30958065373,-190592.09452832022
SDA,386376.66675051226,-461555.3673496838
23IA,390134.19649839867,-461213.3159411246
ISB,342624.0038043655,-172405.37420114645
IA40,343710.60846984165,-167860.08894181091
29IA,368693.60564773116,-461996.02464789315
83IA,649941.4172568351,-378055.0484112012
SUX,296860.0545300273,-282383.89563473716
5IA2,295006.79856777686,-271788.6989668639
6IA3,294486.57587138313,-269264.88770547387
IA78,657169.1135357799,-282105.53227854293
06IA,675331.4698704096,-317699.37399334885
AWG,694519.9977875232,-378895.60466556944
3IA0,693503.1893347657,-377429.61278922326
ALO,621436.2166626019,-242594.55813777773
2IA4,627018.9766984773,-252962.58021752865
10IA,635182.640945165,-257150.2921781757
IA29,626752.9843888624,-245780.42384961518
Y01,689069.5854192711,-155127.1926796402
C25,610957.3247732993,-223073.48128467184
EBS,502701.9069641696,-266208.5262107656
IA95,506209.89312248107,-263439.83661454526
U01,-1041195.8472198609,-162956.76441352707
AOC,-1067701.0053190582,-67558.30259725169
ID48,-1234017.6218643251,455441.701206061
ID05,-1230917.5268433061,457985.6314069072
U45,-1213545.2166225358,-1646.5039960759507
52U,-1220834.2137678247,-15035.180180661646
55H,-1205669.1985980002,-19248.5107723799
36ID,-1205469.468137269,-20009.178999683638
U37,-1028525.4683032945,-90866.73526399728
U46,-1048614.9547752966,-90013.35796758546
U48,-1066094.4609461057,-111437.42294652868
U51,-965360.3990920035,-183177.72647587478
ID16,-1145733.5161853468,-76785.15826279183
U03,-1203456.5570842943,-157766.92711909945
BYI,-1121803.542977489,-178459.48329942164
EUL,-1327059.8532150874,-14630.852751864672
ID80,-1331494.033201388,-12301.450570336752
63ID,-1337147.4510196077,-13088.372748392412
ID00,-1326067.3930706112,-8688.592189052219
ID77,-1316295.3450872612,104559.72532116508
U65,-1120820.9420254414,-91892.3720398458
0U7,-1093085.232512161,-94951.0872521225
ID44,-1278555.3238670488,41888.963496287535
ID55,-1261994.939183858,71983.71062318064
ID74,-1207586.7771158488,63322.09974212181
U70,-1259935.9198313465,68606.02602563603
02ID,-1203641.805716693,64710.908809211236
00ID,-1193007.1254734185,471524.86962381884
ID33,-1194815.373850403,333992.1358873904
S76,-1245554.173458345,428574.351627956
S77,-1202730.5710878624,438884.214947904
ID27,-1248906.8906947013,438823.7547400477
ID03,-1245605.3344255278,431240.8757975295
ID02,-1245372.091957119,428535.2696546926
ID43,-1246777.1875974003,415023.3050409312
ID65,-1246681.651488837,418400.4858340439
ID71,-1244902.099485707,430826.93197990645
ID73,-1257203.1960690324,412183.79889013537
ID98,-1263593.2957043156,434814.28293138667
15ID,-1263573.0464745332,434007.9589199053
6ID1,-1240010.4725925736,424085.78160179046
U58,-989638.7581646589,-212991.7620435503
DIJ,-887986.0319040237,-79136.67486482523
U41,-970190.0576217115,-19961.99503083046
1ID7,-1166203.129437107,-165601.00725915597
S90,-1187245.0742998677,205698.63857099757
9ID6,-1182965.4672685685,181047.37869907232
ID85,-1220596.9977441786,322296.58908696764
S78,-1314789.6157259915,6875.16169959871
04ID,-1314076.867823965,9582.001457924836
98ID,-1309904.1037357794,9054.04476101807
U86,-1188589.206081587,-76010.98737881538
0ID0,-1207692.6500976267,-42394.725938497395
0ID1,-1186947.7227587097,-155813.0062607428
5IA0,576239.2256123896,-342102.0659597766
TNU,578977.7708500376,-345134.02447369456
05IA,561684.5712466933,-183189.3034369053
5D2,548079.1882095304,-149617.1856563876
IA01,378401.5423501926,-395215.2825132085
OLZ,654882.1307355243,-225694.04097349537
IA57,660845.3021801874,-225679.57597789587
2IA8,321605.50650567084,-322986.4182307277
D02,582222.4858371918,-164150.46575250418
6IA9,522637.31582793733,-422043.665554064
I75,528876.8573638167,-418624.3471273401
IA63,621911.9614963576,-387817.43456047744
IA96,355213.5159103998,-203030.15272642425
2Y1,540848.472288599,-276507.13106824964
RDK,397801.54441676725,-432042.72256272705
IA91,401433.9611785569,-429975.58554950537
RRQ,308287.42110477964,-164875.95755349396
5IA8,309092.75735143584,-167947.4511183347
8IA1,301173.10707881313,-193149.1759437927
2Y4,441681.04216383427,-275924.3225836238
34IA,573948.9592164663,-421147.4572669735
SKI,412182.5209116142,-278777.18454535655
6IA1,412019.5871852271,-274349.9037664502
SPW,388862.07325965323,-192533.23276355816
1IA3,393820.2351556462,-193951.70125147462
IA99,393503.34705364367,-164244.69252204132
0F3,392541.9340351142,-167604.37897039336
SLB,389404.72410826315,-255830.7098865674
IA33,472208.03963487496,-373172.30203774205
8C2,594402.4064151667,-355006.23542733415
53IA,612925.283754489,-311929.33495103667
8C4,732320.9214628114,-320357.5899944266
8C5,615078.3828309848,-306902.41062883846
8C6,620476.2176952816,-282650.8422920943
VTI,655580.1506096547,-277323.7153939528
45IA,741559.4349213231,-426006.6599409479
19IA,738534.6170152014,-421159.00629823364
4IA2,728823.160860842,-340574.4186622177
3Y2,666485.8493633434,-190497.02481761688
IA58,315735.7892328271,-313395.58618302486
3Y3,498693.91783548816,-386245.99228305905
3Y4,358119.1666366937,-353471.3984495434
IA89,503554.82575816073,-329155.8847291916
IA30,758950.721341724,-257294.60594841125
U36,-1043550.5684610588,-148605.0141557546
ID46,-1236175.5738688135,294101.1726298774
U54,-1150896.1509331565,102958.34993243945
U60,-1192845.756170373,128345.27034845101
I08,-1162497.5841425199,123736.09380374769
54U,-1192526.2850177996,128283.63587121654
U02,-996172.1529687655,-123495.72399275166
14ID,-1293136.1490734376,-18335.588501627906
ID58,-1300019.7520738232,-26015.23971569295
ID91,-1298321.4206062534,-23781.489180827957
ID49,-1292874.5409510734,-24979.927071622224
1ID4,-1276586.1002014447,-62694.937905676394
BOI,-1296364.617988922,-29797.04410178459
65S,-1185334.2002134165,536198.1405084127
ID35,-1275439.2101122786,42871.12209892014
ID86,-1235153.5813078848,41516.44774925353
D28,-1228180.1319736238,523933.61232630786
34ID,-1238607.4563432634,301248.8102853211
C64,-1141784.369830585,292911.72574819624
LLJ,-1119901.1512102673,45590.323881645294
U72,-1165548.6032985197,61611.68345681241
C53,-1160043.359575442,85241.81190385623
99ID,-1120647.2091688395,44345.01578421523
U79,-1178130.160268506,153474.31124930884
ID32,-1188308.3053945904,466014.259765359
ID75,-1189917.4506764996,468696.17038679565
ID01,-1191962.9451837668,470475.8577575463
ID78,-1190774.938219943,470641.70398322854
0WN8,-1260360.3850846742,383619.9766216649
COE,-1245566.559108361,440259.02116824
U81,-1160674.1513976015,140433.12873032756
66S,-1227948.2549303304,521571.2209337413
S84,-1249779.4579672997,242897.09142765755
U82,-1287438.0975708298,103652.4273418015
03ID,-1293184.1649531515,109869.50967463844
ID17,-1300240.9676767255,136091.33389549796
S89,-1256115.922313964,268068.83474613726
A05,-1199598.567066798,173748.6673507177
C48,-1199632.152512015,159633.8697307482
ID28,-1201669.4170687639,158029.910246718
U84,-1260775.591730059,95758.9373676978
ID96,-1257555.670093985,101503.13382581821
S92,-1148104.4758076747,255875.1952836596
2ID6,-1344889.3274205122,21740.593492736487
U88,-1262656.6101204064,20681.292989045265
D12,-1262297.3046241559,20312.58564533828
U89,-1238834.4405850826,-111801.24266366927
3ID4,-1236663.0797187446,-110982.41623972986
GNG,-1194433.9089945427,-123146.5898578562
1ID8,-1189502.2509524757,-122221.11510289932
ID62,-955911.2955067809,-197225.92449985474
GIC,-1236239.825637415,229148.85488070588
05ID,-1139582.5603688853,206978.6887381545
37ID,-1225819.3578546862,208764.0830083922
66ID,-1241949.1155165574,222789.04903875303
U91,-1294552.0017326267,-165843.15932442705
SUN,-1145634.9095447494,-65437.36131773017
U93,-1157914.839696085,-88536.25521175005
ID38,-1259259.770582442,443863.3489029084
ID21,-1260837.3439283643,441505.5450686191
U94,-1150434.5119765424,-169676.14747701515
ID84,-1197048.4250873162,298102.2202965008
ID88,-1212001.682009123,-77830.95378704624
S66,-1350052.078299812,-12893.826565527925
ID95,-1291306.4398708516,2994.437087197568
1ID2,-1286677.5959706346,8145.615517689681
S73,-1221850.4287536885,257817.69499356704
S83,-1204894.6984273617,405750.78397435945
U61,-1122615.732554739,-19657.904830058003
ID30,-1149207.6259727431,-34371.45478275658
1ID5,-1147151.2990317938,-48755.89980151706
U99,-1109723.3778462808,-124569.41924414484
1ID6,-1168069.540893549,-165488.84025926818
S82,-1221152.7613057485,247745.6660583776
06ID,-1309292.6152099078,-38753.332138975864
ID68,-1316654.2113508522,-34735.9847248476
41ID,-1306537.2053080413,-38323.46421726275
ID59,-1256939.4307915042,105073.42907232702
0U2,-1103355.0621369726,-39069.70504264018
ID56,-1116659.8370425217,-16380.597104571394
0U3,-1170053.9417591204,79831.39614584405
MLD,-1008592.4264585909,-238779.54525100687
08ID,-1339745.3480367842,-20251.198020057196
ID40,-1337599.2377350682,-38004.95072207314
0U8,-1093128.6282861228,50705.65522262462
0ID2,-1086940.673548809,30777.721364686888
ID26,-1281183.4173916688,-70654.02491019768
90ID,-1305419.029056911,-24093.41265061674
0U9,-1318094.1201891906,77063.3249986425
17ID,-1306242.6667786126,69161.22559473763
1U0,-1080234.6743009603,-136508.0118148986
16ID,-925586.6235593639,-234363.71170737286
0ID7,-1346287.2602952537,-57589.80555950406
MAN,-1319567.7106554387,-23095.963959000317
ID79,-1332566.7063887275,-28722.338812582435
38ID,-1332541.870742345,-28600.683175757356
1U4,-1269976.3713592985,126026.03655949105
0S5,-1238287.584463162,263311.24580025685
67S,-1236373.5872426864,529727.0744201107
21ID,-1228732.911006864,534631.0067244598
1U6,-1136009.1225430288,-210964.56962726734
91ID,-1278263.770348591,42507.23947956415
S68,-1235304.7083379019,291626.89685412403
ID29,-1208957.9271492194,309654.8629467938
ID20,-1259662.9780752212,438580.27016273694
2U0,-1244572.700138807,-47615.38186375438
U10,-978675.2793184341,-250366.2879275407
1S6,-1242134.2392389134,487128.69364412554
ID61,-1247158.2341711968,500339.779211103
96ID,-1238562.1426006467,491492.49879724934
45ID,-1232960.373702258,501086.279593324
61ID,-1247869.9707750683,488216.3094073148
RXE,-942736.336547244,-61086.89355836215
U56,-955627.662990557,-80730.97652577351
93ID,-1251784.9980616297,172718.28831853546
ID12,-1005916.5435713452,-124804.15889202047
2U4,-1011058.7570042873,-123426.91419668365
1ID3,-1229462.0126143934,481803.7846812882
68ID,-1208780.082787658,486778.9088543316
26ID,-1201571.3691235085,498266.34209321486
55ID,-1207020.3140725046,501374.976925599
ID54,-1201878.5997191828,511486.5124575629
2U5,-1138457.476835455,215335.20750339294
0ID4,-1168287.6500459486,-113089.66512814599
1S7,-1256112.0762382715,202326.58931948955
U87,-1177072.123780642,-13399.882997610559
U78,-943431.5016430975,-194490.85644392023
85U,-1153550.755343428,117109.53712829755
ID22,-1238764.8840295426,462080.1723637284
2U7,-1181949.702726072,21169.142419433425
2U8,-1176872.375846451,78695.29550700681
9ID0,-1339384.0229814092,63198.61372765621
ID23,-1258546.1138896018,399385.82963979186
I92,-1228025.6808080822,107726.4376611731
3U2,-1210093.7833837115,106487.81908433593
79ID,-1214810.6044339605,236920.79113778597
IL01,803261.8100714043,-421111.8861926807
C00,772799.0090153246,-373514.02506906865
12IS,771458.2123026472,-378431.2618145926
7IS7,892165.9099825138,-620918.3556701036
0IL2,951357.6951472663,-625705.4792810971
IS81,1013206.4180704204,-293901.20919165213
03IS,848942.4189881923,-626896.5607016055
IL21,964361.9678961185,-288615.93327035307
7IS8,969573.2350841105,-294308.1422421945
IL08,970494.8325296658,-241570.92491261254
IS12,970805.6864245565,-263598.69323070144
36IL,805208.7769700241,-617867.3204039942
IL86,811377.6092057814,-516109.5403542832
K06,816257.4457784455,-511372.57489035797
7IS2,863821.9663376556,-668034.5579207706
2IL7,866506.4761559847,-668754.9397302264
60LL,866522.4367826816,-664776.3753733267
BLV,882706.3724716901,-663422.5148561556
U97,-1040784.7144743231,-45353.448234377625
ID47,-1339533.6937642074,-17123.275579255416
U98,-1261656.7618484178,-7563.202669138872
20ID,-1275934.155168096,-16135.892279933416
IDA,-968966.8405187209,-93289.78552923053
ID18,-963339.6002641681,-98893.75993167082
ID87,-963014.4278237144,-106216.87504642218
S81,-1184084.941023407,84359.04886201693
1ID9,-990255.4087616008,-174636.21046517603
ID72,-907813.1004157071,-112599.53253937642
U53,-893791.8652389152,22056.22032681544
JER,-1173374.3675175067,-148572.21902028905
0U0,-1219489.1313441873,77639.34642304154
01ID,-980460.5043475466,-193622.770172868
U00,-1049806.5827076484,50425.692769516536
LWS,-1293219.9708913397,290455.1027702936
ID37,-1292867.1805071924,295232.9548900527
78U,-1296929.6670993075,290131.3671146052
0U1,-1212920.4168731538,19501.078898062966
MYL,-1257970.5377841103,113395.05999116928
2ID5,-1255735.0560254806,103676.50336127194
44ID,-1259179.7924322484,96334.17602004975
24K,-1227534.9349362229,117030.46813859147
U62,-1083307.4763495396,-30270.35664682871
2ID2,-1086022.6339721351,-24790.067652748796
U92,-1087604.1547491767,-55893.31174040276
1U1,-1141706.623709255,231490.77146626715
09ID,-1157646.01152178,118324.64521659765
7ID7,-1283768.5927845417,328850.2574271393
MUO,-1279869.7148807792,-92441.55086662769
U76,-1266761.7120171085,-85010.34270925044
18ID,-1263713.7665083732,-84749.86611547577
0ID3,-1263355.7300196465,-92031.61923737086
1U2,-997488.3010888521,-50859.78270119409
10ID,-1116219.8572113533,-71678.7571509338
1U3,-1329650.487485838,-62701.72942666503
ID66,-1234250.8452536976,290778.170817718
75C,-1195901.9551879184,196779.9343403992
59ID,-892497.1118319705,-141267.22686945146
1U7,-930013.5118387275,-241262.03373301806
50S,-1347656.471565682,5352.087487417524
S75,-1337707.9314309862,39254.59433671601
ID82,-1130946.7099072093,-90191.67643162457
1U9,-1226546.189629905,-54744.94530020112
0ID8,-1244166.000537099,211669.16150805922
22ID,-1266059.6984174002,7431.805334579719
PIH,-1020882.5433123567,-153459.86701089438
ID64,-1008357.5466443321,-160263.9716207627
1S1,-1193850.469742069,568191.6590848215
ID07,-1262801.0082071864,432986.72333712666
ID53,-1113473.4263676282,-170974.21486326872
ID24,-1207370.4845924913,483459.64695181
U12,-931368.9497389134,-49649.38985839844
S72,-1238404.497510917,387473.6023632646
ID13,-1243127.6523679981,388054.0616923481
ID14,-1238014.698139276,386098.7112080697
SMN,-1082355.6057740583,106934.0533549746
12ID,-1150981.4789409642,101649.46073806933
8ID8,-1076709.209396606,132010.9291034839
SZT,-1214348.9267362151,493614.26381206757
ID19,-1203648.3400408274,483533.88710370974
ID25,-1212704.0368108642,499117.73845005373
U63,-1207459.773350613,49523.72852102069
13ID,-1185950.3526609454,28510.483528035704
ID92,-1316282.3686753467,-6952.5757812535685
ID69,-1144695.2639905252,-41315.85725965496
3U0,-1257934.303332107,-212727.75502586755
2ID3,-1350140.087161286,-111405.83819336805
ID94,-1259680.61892007,329241.42326154286
TWF,-1180568.5697662674,-175042.28883304854
84ID,-1184022.3126514764,-167452.79840742305
80ID,-1179148.5588560037,-162936.46242721117
ID15,-891415.4211961315,-97615.36580229338
3U1,-1217675.8534108028,148545.77042536018
3ID2,-1216180.907724399,271590.887777457
S87,-1339630.7685954226,52315.73360482692
1IL3,850322.9065440468,-627744.6411631877
IL07,885938.5099958674,-306395.0130640196
4IS0,947920.1470413691,-776365.8004401785
50IL,965705.1480834649,-209253.96408537653
IL11,976915.9797606508,-210267.0265521617
IL28,804156.1736557254,-233334.33637516852
IL12,812202.6579893373,-522298.7847099865
7IL4,987014.4315802734,-253562.8046937949
IL94,910853.2955157966,-471284.51931634336
3IL9,904205.0018095245,-466010.690686377
IL34,922580.0310341686,-246277.38052643253
IL36,920527.8693155724,-234660.3026326767
IS83,921557.8992543659,-244952.94970218212
0LL0,924033.569208664,-240422.95296120463
1IS2,976246.4985736691,-499480.62724210415
4IL9,912681.7834114436,-403526.335082265
H96,967787.1069144508,-712681.8851049107
53IS,969148.7539017946,-712393.7289494282
IL38,947648.3795749067,-293115.1396475243
BMI,934761.0119854604,-439927.8385468958
IL40,931293.8425916135,-439818.2684909765
IL57,926774.8225975736,-447198.01762098505
IL14,925867.8872801928,-440801.8565852804
3IS1,920970.4266780689,-529039.3983767374
3IS3,925666.0630809985,-524031.14974642254
1IS3,933739.6480892346,-527851.7139888781
1C5,981730.9704655189,-296220.8853277829
45IS,985505.533179174,-297358.42725836294
05IL,999364.574310749,-353986.7168397747
3IS8,866011.2708310083,-364305.43910038477
8IS0,908475.1361552909,-651055.6429656972
0IL1,1003107.9017081688,-274452.4992534127
60IS,1043953.7661513217,-658000.8989701597
4IL7,813020.3800678623,-626805.5002440248
IS86,986707.7484744336,-369153.841323607
16LL,951905.8799878813,-232521.09523548707
5IS1,946635.1244262643,-747000.927172761
44LL,868901.0845713342,-580493.853070635
CUL,1036978.7194010082,-693989.1174560088
5IS2,823695.9429383618,-586389.5977701133
IS51,743143.1911722432,-466032.2913293383
IL50,751309.2215536436,-469976.3537778058
IL52,748304.2690125931,-466845.4723659405
5IS9,757398.5626086505,-477658.2280120209
1H8,1029010.7920154096,-558730.2823009376
ENL,947285.4539116261,-658564.2517734817
98IL,944618.9434268969,-657055.2495093445
4IS2,892612.3422722883,-732551.9104485421
