airport,x,y
MDQ,1224986.0717528677,-1028587.6233668835
1AL5,1176659.4220408408,-1509340.5490932094
AL97,1183894.2558149009,-1507324.9486181184
04A,1301082.370045702,-1367209.1431553375
7AL7,1389070.9088616276,-1427967.9634846686
2AL1,1176658.759301908,-1533050.606032037
AL76,1227537.4864843744,-1254078.720372091
A08,1184722.9273805919,-1298516.7742196799
AL95,1142971.1810592834,-1442950.13112627
AL09,1317344.677299533,-1049064.0738505342
BFM,1146268.2850906174,-1514711.044757407
AL52,1142306.4610633338,-1506198.6447977135
AL82,1133009.1181273058,-1510682.121951987
62AL,1116568.9553448842,-1512468.1836556094
AL24,1214954.3232415589,-1163001.0886671434
MSL,1131610.1951065974,-1055810.7904468689
AL53,1125465.7507282812,-1056494.3038025734
5AL5,1128674.774575013,-1062216.1208553454
20A,1255168.2652563679,-1123600.7351233086
4AL2,1245396.0577961626,-1129852.2834716362
AL89,1368631.1262457266,-1245461.565666456
3AL2,1366692.6606376853,-1254755.6679321514
AL71,1310525.272517462,-1245779.7479371335
3AL8,1236992.1363546823,-1053672.79868562
71J,1366103.0117639012,-1390622.494839183
7A5,1361247.154135781,-1200472.6666949335
2AL2,1359229.6177256089,-1197717.2537595865
AL25,1354793.545507987,-1301442.7854404328
AL84,1195003.8257834555,-1517396.6569851285
1AL4,1195849.8303844952,-1516809.3343312535
M22,1126776.4859208788,-1090206.1872334243
2R5,1128144.300220072,-1531150.0517350854
1A4,1329663.1525421583,-1433532.2237233226
4A6,1277517.0742136543,-1039174.1042104221
03AL,1274260.896096884,-1042658.9858013657
SEM,1224119.0571486496,-1311218.8522504137
AL90,1216423.7084995268,-1302901.2100548549
AL74,1121825.9767611022,-1502732.5409587868
AL48,1159938.5504430814,-1367058.9865909317
TOI,1322424.8500443301,-1349842.073716868
AL77,1324920.8551543993,-1362841.4415014258
TCL,1153546.143419583,-1223562.4790162235
AL26,1161475.006018037,-1224039.7217284169
3AL3,1159230.08460566,-1227945.6306726662
06A,1343902.2652271425,-1278768.5513525268
27AL,1355320.4442396492,-1277603.3224122585
07A,1336448.3292207317,-1312952.7906751195
AL07,1385058.2104442548,-1230108.844161523
CVK,757105.486049348,-932386.7582777045
AR76,785485.6693999603,-1038383.9643732654
M60,793635.9645704895,-1039415.0282398137
M74,767343.4686783082,-1039024.4055588358
BVX,754954.0709545132,-992682.0546145252
AR24,755624.1897297396,-988055.0023124515
1AR0,805029.1387166836,-1023853.5497270299
25AR,594844.7993343748,-1072826.9930369505
SUZ,690179.661927081,-1125302.0795313371
04AR,680570.466117498,-1127947.3135018158
VBT,518719.5241764018,-943688.8120045925
27AR,521358.66253012005,-944150.5066915401
4M1,571703.5408462728,-935788.4927641919
4AR1,720572.1105771682,-1072332.6425187106
4AR2,730359.714816934,-1085979.6792661864
73AR,724800.4603212124,-1071127.1562341144
37T,706048.6343084632,-948540.2554495629
CDH,672393.5058939538,-1234454.8058158564
AR42,666032.6697295457,-1240130.8691692853
RBM,704245.0850392119,-1095482.2488314253
4M3,758200.8935459174,-1094680.6093350674
6AR1,521241.56888106436,-950953.4109202059
2AR5,511793.29858748545,-939908.451112348
AL75,1192288.983312784,-1548762.824683018
AL96,1181876.6854067177,-1546345.6326267899
JKA,1188596.332763245,-1546351.5786409494
8A1,1259069.3680977675,-1074039.3391200628
AL10,1241002.099393168,-1049418.7268621163
1M4,1139284.2467622967,-1106848.3087437095
HAB,1105336.3875407574,-1130095.2342481576
2AL7,1222491.8104887954,-1118551.4890254631
AL92,1263527.0622474977,-1196882.2284638453
AL62,1365751.5124812308,-1429860.352571867
3AL1,1366105.4267302144,-1433453.8812861284
4AL4,1199403.8359852834,-1081227.3499582054
AL05,1367160.2377861384,-1301690.0653068211
4R3,1151334.770630944,-1419746.8442321797
3AL5,1313594.620121764,-1129199.426932351
AL63,1178906.304736726,-1149873.0038290992
JFX,1170986.9249957132,-1144563.4631613551
5AL7,1317587.9499177781,-1419094.9666895464
7A3,1379752.832614288,-1233035.6756602293
4AL9,1294457.7646659275,-1341535.9440906004
AL88,1205923.9705790558,-1528537.7396828495
AL35,1181014.6709594862,-1510586.4917049292
57AL,1178720.3410519578,-1507167.637180412
MOB,1128771.5470616468,-1509919.7780781558
1AL6,1205156.2727057696,-1408746.923809486
MVC,1202889.4495742917,-1413649.564773031
5AL3,1224668.6339851932,-1220394.2517601298
MXF,1281436.5223326094,-1297817.2729504847
1AL7,1288008.5366433517,-1297324.9526132438
AL11,1290597.681050577,-1302556.7830007991
AL12,1304570.7762548772,-1296538.5131458081
MGM,1280085.7376551116,-1307274.2062547614
1AL8,1252218.1023642158,-1164587.6874265475
AL34,1156325.9701558973,-1085602.475938984
AL86,1164968.8071129955,-1080139.5279179774
AL44,1154752.2256554908,-1251523.3945363702
AL87,1364697.6272782572,-1388714.5907197727
36AL,1373214.512194198,-1382550.1955143344
PLR,1273736.014303196,-1166952.8048785822
AL33,1185835.708387203,-1463358.4849183883
2AL8,1384614.250535669,-1276180.8950621677
84AL,1377337.1694664261,-1403225.78889752
7AL5,1375911.6176758257,-1404896.6526903352
AL16,1227640.0019129692,-1155490.0739396624
1A9,1266914.7178890994,-1293885.6615605182
HUA,1216349.9374699385,-1050292.814214438
3M8,1114754.9420844459,-1210555.2256373856
AL41,1370698.531398606,-1425313.2156710762
AL58,1155935.5308332858,-1507919.7758454187
7AL2,1263208.4844478297,-1134264.277983712
7A6,1292488.1135616892,-1014385.8491323839
HL2,1159281.655120063,-1464094.732586757
AL69,1202809.1371596567,-1519837.9165986748
4AL6,1185097.0082547788,-1527063.4480787239
NFD,1188020.3068531475,-1522088.3439162911
SCD,1274682.5030089424,-1210300.9713794221
46AL,1258659.4953473576,-1209912.7746608728
ASN,1291689.4492029652,-1162793.3991027863
AL83,1321232.811051785,-1274379.0910300056
5AL2,1144646.223556171,-1526120.4676468829
M55,1098373.117109125,-1161359.0222465473
08A,1282423.0439027858,-1281446.0229766967
2AL3,1303222.765988849,-1286131.6646039581
AL94,1114407.2814118082,-1498350.6366767178
AL17,1254601.896930208,-1206556.4690316692
34AL,1258448.2444776052,-1204531.8449410284
AL54,1122902.0194067114,-1155996.9823917912
4AL5,1258346.8879836793,-1044876.5587534187
18AL,1356971.2179553236,-1348926.5096300452
M73,784669.1598997561,-1136134.2883757034
54AR,567127.8292613672,-1046079.0473189929
ADF,640493.9857555792,-1184102.58072889
41AR,614179.3636699353,-1183596.1860090883
AR41,578463.4212566701,-937731.3544731776
AR51,577069.4423807679,-952891.6946560522
AR13,672637.9218274372,-1082801.308071601
BYH,905217.2785343362,-949599.2926853865
HKA,915633.6322879064,-951015.4443650919
AR30,907815.3171094455,-951625.8809831806
4M2,559417.012647978,-1073693.717307833
15AR,864409.1782348553,-1081533.4316784532
M36,806238.9600430437,-1081774.4998742884
3AR3,722127.0628185028,-1070147.0468360959
AR03,619667.812536644,-1072062.3304497711
28AR,773122.3346773871,-978905.6152689377
4AR5,839570.7419522539,-1023465.4674252601
AR05,609671.5982592026,-1062491.3496430889
4M8,788757.4697979456,-1109623.2788712478
H35,596568.5404148626,-1035187.25108029
AR02,594995.2644395075,-1036363.68476708
CCA,683689.4516687581,-1013738.8550075531
31AR,684011.4483618694,-1017916.9148223557
2A2,687519.3169927965,-1007494.5859086663
DRP,835451.7770399417,-1051906.0111938992
7AR3,836104.5179565784,-1048368.8493754036
4AR3,687692.5530234533,-1070419.531405135
AR88,697446.9100852412,-1072956.4793182076
AR06,696801.9745579384,-1053229.8495096932
4M9,837208.2023945501,-908316.5129332297
61AR,669020.635936776,-935218.1084374273
1AR1,746266.178216836,-1127145.4722366303
0AR2,876925.8160437847,-1030885.2825440163
CRT,758336.2485384708,-1276105.1459319205
AR07,753719.223400793,-1280609.2815160481
50AR,603848.5309282867,-1080886.9692779977
32A,599412.4693272361,-1077605.2887357255
AR32,623455.1411541109,-1060828.7847653194
AR48,684697.7321091011,-1278765.8947643929
ELD,671252.5530109792,-1279172.7509452668
17AR,726014.8513226691,-1126185.9885056235
7AR1,809788.8940027953,-1285297.97820012
0AR9,560902.6749207868,-934510.0482336506
AR08,568449.7839383676,-943378.0733285698
55AR,564980.4187014741,-930912.9491217667
7AR0,564631.9794246535,-930747.4856009322
18AR,553450.9669524399,-941288.3837077314
FYV,525542.5512440042,-980990.1836929721
XNA,511251.36067402794,-951228.666706021
67AR,512540.7683083264,-971576.5827306248
FSM,512422.4773113855,-1056176.563515359
AR21,513583.20572107245,-1054198.711461842
AR40,507347.3049836889,-1052457.233069709
40AR,545845.2190857723,-936442.5848760579
1AR5,486304.2105439512,-950891.3307503904
70AR,900077.6050059379,-946840.0948812664
0AR4,496741.13761518605,-938000.6073837632
AR09,498604.3934971073,-937364.7887857606
12A,698053.417340957,-1059237.1631434779
52AR,705593.6824801145,-1047126.7004951087
1AR6,707575.8255951689,-1022076.705402086
7AR2,712905.8801232683,-1015578.4807314691
33AR,711543.1819204587,-1010689.7110379414
21AR,774877.601639321,-1103123.3620210313
3AR8,729058.5631561838,-1023563.459527928
6AR4,725540.2015122992,-1020215.1632770712
HBZ,724091.784905408,-1019594.5526454906
HEE,855099.82015801745,-1110397.7442448176
AR77,860368.347790016,-1117251.5111639411
75AR,698403.6501015398,-934579.0286681504
06AR,708259.7609382167,-1017424.0817450638
2AR9,562657.4264009966,-928243.570363381
2A6,810369.0418605453,-1114548.6357428192
M18,588676.8242279051,-1230350.2245750166
1AR7,596050.9737096758,-1237739.4052375224
6M2,740308.5688501935,-938914.1251136855
3M0,667539.0809202391,-931489.4816056134
M32,809166.2703109907,-1252361.8500773273
AR61,812028.8351440798,-1256654.7401724278
LIT,712194.5002882322,-1107832.4518794755
AR29,701423.6644059859,-1106478.4898053845
5AR5,699064.2363397018,-1107009.947403358
AR45,701419.8735496851,-1106456.5405385734
5AR6,696451.1234872291,-1117311.3741139132
6AR3,703312.3831195899,-1106465.872971217
6AR7,696771.0355114798,-1108114.759298916
3AR0,836832.0144004065,-1084979.7722867485
6M7,840625.5508315883,-1088976.5350662775
6M8,869353.8683243592,-1002004.1113185714
34AR,870135.1744565734,-996550.2968987433
4A5,662549.320439801,-982095.4744413646
12AR,828565.361380755,-1120092.8986508609
AR34,689816.1956852642,-1081746.0583914362
AR46,814421.0263335177,-1046440.0556939038
2AR4,810130.5199192532,-1042536.6972906104
7M1,801857.2858152514,-1222634.811087721
AR63,799272.348531292,-1223145.2808379852
42A,735115.6009709504,-956192.4812514725
2AR3,714503.870269369,-982112.2576612803
7M3,594541.4624495852,-1140029.4849845427
02AR,582276.1354190253,-1186742.6335690236
AR66,583535.9180498528,-1191727.583700285
0AR8,566544.5454619945,-1206562.315625827
M77,570089.4416944566,-1200936.887066747
19AR,708646.0747372127,-1060889.857106535
M19,798279.5473274047,-998122.6995153306
AR92,790640.4265299503,-1002038.0647997991
43AR,792701.767015087,-1001644.5800965405
ORK,708564.404699547,-1096621.6561256638
AR55,724385.4086341818,-1105545.2875948283
8AR1,658561.0192587643,-916640.5915525567
13AR,736266.373792422,-1165945.0995858863
M70,811572.7755610738,-928865.4215855368
AR53,807425.8290928652,-924427.2030821494
4F7,615507.9311477738,-1218981.6694888521
2AR7,604344.9074286022,-1214823.5653864413
7M8,868254.9059023643,-922012.8586521033
ROG,528599.9050715573,-939930.9062217326
AR36,526637.8160374959,-944455.7164690571
AR11,530692.6535982445,-949073.4410751798
AR12,724175.8054972071,-1041057.8363025317
RUE,628592.0452881332,-1056141.9173490796
4AR0,623174.347786141,-1053818.4121838498
5M5,498546.0495411936,-945182.2033173143
DEQ,517935.1213225212,-1199021.227613613
01AR,522140.7432677291,-1198666.5072113983
4M5,795977.8738643846,-1237957.0934227998
1AR2,771155.6568571548,-1073497.0080322449
AR59,797625.4827488781,-1149709.3319212934
5M1,800648.1597131544,-1151240.9171343965
49AR,787343.8930615406,-1157926.1935682476
AR89,629842.4545918998,-1040374.0175963048
0M0,783586.0966074986,-1195047.7124443143
63AR,867091.2187063184,-1034267.4508852386
F43,685333.6256899841,-1281302.625842422
AR47,684666.0307301494,-1278847.2075236363
4AR8,525831.8455210323,-969506.2786524458
