year,airline,airport,type,block,n,airline_airport
1,UA,ORD,arr,1970-01-01T12:21:00Z,-870,UA/ ORD
1,UA,ORD,arr,1970-01-01T12:31:00Z,-1646,UA/ ORD
1,UA,ORD,arr,1970-01-01T12:41:00Z,-2804,UA/ ORD
1,UA,ORD,arr,1970-01-01T12:51:00Z,-2803,UA/ ORD
1,UA,ORD,arr,1970-01-01T13:01:00Z,-1668,UA/ ORD
1,UA,ORD,arr,1970-01-01T13:11:00Z,-1002,UA/ ORD
1,UA,ORD,arr,1970-01-01T13:21:00Z,-778,UA/ ORD
1,UA,ORD,arr,1970-01-01T13:31:00Z,-749,UA/ ORD
1,UA,ORD,arr,1970-01-01T13:41:00Z,-929,UA/ ORD
1,UA,ORD,arr,1970-01-01T13:51:00Z,-1071,UA/ ORD
1,UA,ORD,arr,1970-01-01T14:01:00Z,-1236,UA/ ORD
1,UA,ORD,arr,1970-01-01T14:11:00Z,-1807,UA/ ORD
1,UA,ORD,arr,1970-01-01T14:21:00Z,-2532,UA/ ORD
1,UA,ORD,arr,1970-01-01T14:31:00Z,-2405,UA/ ORD
1,UA,ORD,arr,1970-01-01T14:41:00Z,-1551,UA/ ORD
1,UA,ORD,arr,1970-01-01T14:51:00Z,-922,UA/ ORD
1,UA,ORD,arr,1970-01-01T15:01:00Z,-819,UA/ ORD
1,UA,ORD,arr,1970-01-01T15:11:00Z,-775,UA/ ORD
1,UA,ORD,arr,1970-01-01T15:21:00Z,-958,UA/ ORD
1,UA,ORD,arr,1970-01-01T15:31:00Z,-1435,UA/ ORD
1,UA,ORD,arr,1970-01-01T15:41:00Z,-2043,UA/ ORD
1,UA,ORD,arr,1970-01-01T15:51:00Z,-2560,UA/ ORD
1,UA,ORD,arr,1970-01-01T16:01:00Z,-2426,UA/ ORD
1,UA,ORD,arr,1970-01-01T16:11:00Z,-1669,UA/ ORD
1,UA,ORD,arr,1970-01-01T16:21:00Z,-972,UA/ ORD
1,UA,ORD,arr,1970-01-01T16:31:00Z,-723,UA/ ORD
1,UA,ORD,arr,1970-01-01T16:41:00Z,-803,UA/ ORD
1,UA,ORD,arr,1970-01-01T16:51:00Z,-1484,UA/ ORD
1,UA,ORD,arr,1970-01-01T17:01:00Z,-1575,UA/ ORD
1,UA,ORD,arr,1970-01-01T17:11:00Z,-1309,UA/ ORD
1,UA,ORD,arr,1970-01-01T17:21:00Z,-902,UA/ ORD
1,UA,ORD,arr,1970-01-01T17:31:00Z,-981,UA/ ORD
1,UA,ORD,arr,1970-01-01T17:41:00Z,-1512,UA/ ORD
1,UA,ORD,arr,1970-01-01T17:51:00Z,-2368,UA/ ORD
1,UA,ORD,arr,1970-01-01T18:01:00Z,-2851,UA/ ORD
1,UA,ORD,arr,1970-01-01T18:11:00Z,-2782,UA/ ORD
1,UA,ORD,arr,1970-01-01T18:21:00Z,-1779,UA/ ORD
1,UA,ORD,arr,1970-01-01T18:31:00Z,-1158,UA/ ORD
1,UA,ORD,arr,1970-01-01T18:41:00Z,-1086,UA/ ORD
1,UA,ORD,arr,1970-01-01T18:51:00Z,-1537,UA/ ORD
1,UA,ORD,arr,1970-01-01T19:01:00Z,-1957,UA/ ORD
1,UA,ORD,arr,1970-01-01T19:11:00Z,-2545,UA/ ORD
1,UA,ORD,arr,1970-01-01T19:21:00Z,-2328,UA/ ORD
1,UA,ORD,arr,1970-01-01T19:31:00Z,-1318,UA/ ORD
1,UA,ORD,arr,1970-01-01T19:41:00Z,-980,UA/ ORD
1,UA,ORD,arr,1970-01-01T19:51:00Z,-884,UA/ ORD
1,UA,ORD,arr,1970-01-01T20:01:00Z,-1050,UA/ ORD
1,UA,ORD,arr,1970-01-01T20:11:00Z,-984,UA/ ORD
1,UA,ORD,arr,1970-01-01T20:21:00Z,-730,UA/ ORD
1,UA,ORD,arr,1970-01-01T20:31:00Z,-656,UA/ ORD
1,UA,ORD,arr,1970-01-01T20:41:00Z,-842,UA/ ORD
1,UA,ORD,arr,1970-01-01T20:51:00Z,-1004,UA/ ORD
1,UA,ORD,arr,1970-01-01T21:01:00Z,-1182,UA/ ORD
1,UA,ORD,arr,1970-01-01T21:11:00Z,-1533,UA/ ORD
1,UA,ORD,arr,1970-01-01T21:21:00Z,-1273,UA/ ORD
1,UA,ORD,arr,1970-01-01T21:31:00Z,-926,UA/ ORD
1,UA,ORD,arr,1970-01-01T21:41:00Z,-667,UA/ ORD
1,UA,ORD,arr,1970-01-01T21:51:00Z,-475,UA/ ORD
1,UA,ORD,arr,1970-01-01T22:01:00Z,-360,UA/ ORD
1,UA,ORD,arr,1970-01-01T22:11:00Z,-243,UA/ ORD
1,UA,ORD,arr,1970-01-01T22:21:00Z,-221,UA/ ORD
1,UA,ORD,arr,1970-01-01T22:31:00Z,-268,UA/ ORD
1,UA,ORD,arr,1970-01-01T22:41:00Z,-310,UA/ ORD
1,UA,ORD,arr,1970-01-01T22:51:00Z,-235,UA/ ORD
1,UA,ORD,arr,1970-01-01T23:01:00Z,-258,UA/ ORD
1,UA,ORD,arr,1970-01-01T23:11:00Z,-158,UA/ ORD
1,UA,ORD,arr,1970-01-01T23:21:00Z,-98,UA/ ORD
1,UA,ORD,arr,1970-01-01T23:31:00Z,-91,UA/ ORD
1,UA,ORD,arr,1970-01-01T23:41:00Z,-93,UA/ ORD
1,UA,ORD,arr,1970-01-01T23:51:00Z,-82,UA/ ORD
1,UA,ORD,dep,1970-01-01T00:01:00Z,14,UA/ ORD
1,UA,ORD,dep,1970-01-01T00:11:00Z,14,UA/ ORD
1,UA,ORD,dep,1970-01-01T00:21:00Z,13,UA/ ORD
1,UA,ORD,dep,1970-01-01T00:31:00Z,4,UA/ ORD
1,UA,ORD,dep,1970-01-01T00:41:00Z,2,UA/ ORD
1,UA,ORD,dep,1970-01-01T00:51:00Z,6,UA/ ORD
1,UA,ORD,dep,1970-01-01T01:01:00Z,7,UA/ ORD
1,UA,ORD,dep,1970-01-01T01:11:00Z,3,UA/ ORD
1,UA,ORD,dep,1970-01-01T01:21:00Z,1,UA/ ORD
1,UA,ORD,dep,1970-01-01T01:31:00Z,3,UA/ ORD
1,UA,ORD,dep,1970-01-01T05:41:00Z,56,UA/ ORD
1,UA,ORD,dep,1970-01-01T05:51:00Z,335,UA/ ORD
1,UA,ORD,dep,1970-01-01T06:01:00Z,626,UA/ ORD
1,UA,ORD,dep,1970-01-01T06:11:00Z,662,UA/ ORD
1,UA,ORD,dep,1970-01-01T06:21:00Z,696,UA/ ORD
1,UA,ORD,dep,1970-01-01T06:31:00Z,930,UA/ ORD
1,UA,ORD,dep,1970-01-01T06:41:00Z,2010,UA/ ORD
1,UA,ORD,dep,1970-01-01T06:51:00Z,1185,UA/ ORD
1,UA,ORD,dep,1970-01-01T07:01:00Z,1077,UA/ ORD
1,UA,ORD,dep,1970-01-01T07:11:00Z,572,UA/ ORD
1,UA,ORD,dep,1970-01-01T07:21:00Z,233,UA/ ORD
1,UA,ORD,dep,1970-01-01T07:31:00Z,266,UA/ ORD
1,UA,ORD,dep,1970-01-01T07:41:00Z,3213,UA/ ORD
1,UA,ORD,dep,1970-01-01T07:51:00Z,2565,UA/ ORD
1,UA,ORD,dep,1970-01-01T08:01:00Z,2430,UA/ ORD
1,UA,ORD,dep,1970-01-01T08:11:00Z,2596,UA/ ORD
1,UA,ORD,dep,1970-01-01T08:21:00Z,1395,UA/ ORD
1,UA,ORD,dep,1970-01-01T08:31:00Z,906,UA/ ORD
1,UA,ORD,dep,1970-01-01T08:41:00Z,1106,UA/ ORD
1,UA,ORD,dep,1970-01-01T08:51:00Z,835,UA/ ORD
1,UA,ORD,dep,1970-01-01T09:01:00Z,686,UA/ ORD
1,UA,ORD,dep,1970-01-01T09:11:00Z,1003,UA/ ORD
1,UA,ORD,dep,1970-01-01T09:21:00Z,2179,UA/ ORD
