origin,yearly_passengers,hub_type
YNG,36416,Nonhub
BQK,36405,Nonhub
JLN,35548,Nonhub
TXK,34170,Nonhub
BGM,33481,Nonhub
1G4,33189,Nonhub
PIR,32646,Nonhub
GUC,32242,Nonhub
LUK,30552,Nonhub
GCC,29368,Nonhub
MEI,29228,Nonhub
BJI,29086,Nonhub
HVN,28607,Nonhub
BTM,27697,Nonhub
ABR,27573,Nonhub
SWO,27370,Nonhub
ALO,27335,Nonhub
PLN,27290,Nonhub
GCK,26687,Nonhub
HHH,26206,Nonhub
HGR,25570,Nonhub
CKB,25197,Nonhub
CMX,24814,Nonhub
SMX,24593,Nonhub
BPT,23767,Nonhub
RHI,23736,Nonhub
EAU,23473,Nonhub
OGS,22957,Nonhub
ART,22497,Nonhub
CIU,22236,Nonhub
BRD,21423,Nonhub
RIW,21418,Nonhub
MMH,21385,Nonhub
STC,21112,Nonhub
PAH,20908,Nonhub
OGD,20700,Nonhub
JMS,20572,Nonhub
HYA,19696,Nonhub
GGG,19629,Nonhub
OWB,19576,Nonhub
DIK,19003,Nonhub
PGA,18691,Nonhub
IPT,18310,Nonhub
RKS,18109,Nonhub
IMT,17755,Nonhub
EKO,17107,Nonhub
WST,17011,Nonhub
MKG,16966,Nonhub
HIB,16810,Nonhub
ESC,16542,Nonhub
LAR,16502,Nonhub
BFI,16293,Nonhub
HOB,16214,Nonhub
CDC,15858,Nonhub
BID,15489,Nonhub
INL,15331,Nonhub
PIB,15323,Nonhub
RBN,15142,Nonhub
CCR,14657,Nonhub
OTH,12820,Nonhub
PQI,12738,Nonhub
SHR,12295,Nonhub
LKE,12101,Nonhub
BKL,11640,Nonhub
UST,11385,Nonhub
TUP,11372,Nonhub
DVL,11321,Nonhub
ATY,11180,Nonhub
APN,11125,Nonhub
MWA,10979,Nonhub
LEB,10291,Nonhub
FRD,9972,Nonhub
HYS,9460,Nonhub
SLN,9414,Nonhub
VRB,9089,Nonhub
TBN,8960,Nonhub
PVC,8884,Nonhub
WYS,8472,Nonhub
SDY,8404,Nonhub
MCE,8356,Nonhub
BHB,8321,Nonhub
DEC,8262,Nonhub
DQS,7983,Nonhub
UIN,7924,Nonhub
CEZ,7922,Nonhub
MCW,7679,Nonhub
BRL,7657,Nonhub
BKG,7294,Nonhub
FOD,7140,Nonhub
ESD,7101,Nonhub
RKD,7018,Nonhub
CEC,6973,Nonhub
VEL,6628,Nonhub
SHD,6615,Nonhub
MSL,6505,Nonhub
ALS,6493,Nonhub
CYS,6482,Nonhub
CNY,6466,Nonhub
CGI,6319,Nonhub
CDR,6211,Nonhub
AIA,6170,Nonhub
IPL,6136,Nonhub
PRC,6016,Nonhub
EWB,5984,Nonhub
BFF,5945,Nonhub
CLD,5867,Nonhub
MMU,5843,Nonhub
TVF,5743,Nonhub
PDT,5722,Nonhub
SVC,5699,Nonhub
PUB,5645,Nonhub
TEB,5583,Nonhub
LMT,5559,Nonhub
GLH,5556,Nonhub
LWB,5546,Nonhub
AUG,5434,Nonhub
MGW,5417,Nonhub
IWD,5348,Nonhub
IRK,5150,Nonhub
CVN,5075,Nonhub
BED,4993,Nonhub
RUT,4991,Nonhub
MBL,4923,Nonhub
SOW,4920,Nonhub
SLK,4898,Nonhub
MCN,4859,Nonhub
MSS,4853,Nonhub
JBR,4781,Nonhub
LNS,4664,Nonhub
EAR,4659,Nonhub
BKW,4598,Nonhub
HRO,4368,Nonhub
LBF,4225,Nonhub
PKB,4175,Nonhub
MKL,4007,Nonhub
CNM,3948,Nonhub
DUJ,3878,Nonhub
AOO,3806,Nonhub
OLF,3804,Nonhub
BFD,3746,Nonhub
FOE,3717,Nonhub
FMN,3709,Nonhub
CPS,3669,Nonhub
JST,3594,Nonhub
GGW,3517,Nonhub
FNL,3408,Nonhub
KEH,3387,Nonhub
MKC,3296,Nonhub
LAF,3090,Nonhub
PDK,3063,Nonhub
AFW,2942,Nonhub
YIP,2785,Nonhub
MCK,2717,Nonhub
HVR,2716,Nonhub
HOT,2652,Nonhub
TEX,2448,Nonhub
VCT,2418,Nonhub
MQY,2414,Nonhub
TCL,2354,Nonhub
PTK,2302,Nonhub
GDV,2229,Nonhub
BMG,2121,Nonhub
VCV,1972,Nonhub
RIV,1955,Nonhub
DDC,1883,Nonhub
BWG,1750,Nonhub
LBL,1610,Nonhub
ELD,1472,Nonhub
LGU,1430,Nonhub
DQK,1408,Nonhub
FKL,1396,Nonhub
RDG,1395,Nonhub
FRG,1229,Nonhub
JHW,1229,Nonhub
UXR,1217,Nonhub
RNT,1213,Nonhub
BAF,1156,Nonhub
DSI,1045,Nonhub
NC1,971,Nonhub
EFD,958,Nonhub
AHN,957,Nonhub
BFM,936,Nonhub
BIF,915,Nonhub
ANB,834,Nonhub
PAE,819,Nonhub
DRT,807,Nonhub
DOV,792,Nonhub
ECG,787,Nonhub
GYY,762,Nonhub
CEF,754,Nonhub
MNZ,723,Nonhub
POB,652,Nonhub
HKY,611,Nonhub
IYK,572,Nonhub
VNY,566,Nonhub
INT,554,Nonhub
DWH,552,Nonhub
FTW,549,Nonhub
LSV,548,Nonhub
KNB,471,Nonhub
OPF,440,Nonhub
CO1,389,Nonhub
ILG,388,Nonhub
HUF,377,Nonhub
