airline,airport,type,block,n,airline_airport,year
AA,ORD,arr,1970-01-01T12:41:00Z,-1113,AA/ ORD,1995
AA,ORD,arr,1970-01-01T12:51:00Z,-609,AA/ ORD,1995
AA,ORD,arr,1970-01-01T13:01:00Z,-526,AA/ ORD,1995
AA,ORD,arr,1970-01-01T13:11:00Z,-482,AA/ ORD,1995
AA,ORD,arr,1970-01-01T13:21:00Z,-459,AA/ ORD,1995
AA,ORD,arr,1970-01-01T13:31:00Z,-833,AA/ ORD,1995
AA,ORD,arr,1970-01-01T13:41:00Z,-1747,AA/ ORD,1995
AA,ORD,arr,1970-01-01T13:51:00Z,-2207,AA/ ORD,1995
AA,ORD,arr,1970-01-01T14:01:00Z,-2070,AA/ ORD,1995
AA,ORD,arr,1970-01-01T14:11:00Z,-1388,AA/ ORD,1995
AA,ORD,arr,1970-01-01T14:21:00Z,-674,AA/ ORD,1995
AA,ORD,arr,1970-01-01T14:31:00Z,-429,AA/ ORD,1995
AA,ORD,arr,1970-01-01T14:41:00Z,-374,AA/ ORD,1995
AA,ORD,arr,1970-01-01T14:51:00Z,-569,AA/ ORD,1995
AA,ORD,arr,1970-01-01T15:01:00Z,-1267,AA/ ORD,1995
AA,ORD,arr,1970-01-01T15:11:00Z,-2513,AA/ ORD,1995
AA,ORD,arr,1970-01-01T15:21:00Z,-2441,AA/ ORD,1995
AA,ORD,arr,1970-01-01T15:31:00Z,-2019,AA/ ORD,1995
AA,ORD,arr,1970-01-01T15:41:00Z,-1436,AA/ ORD,1995
AA,ORD,arr,1970-01-01T15:51:00Z,-824,AA/ ORD,1995
AA,ORD,arr,1970-01-01T16:01:00Z,-597,AA/ ORD,1995
AA,ORD,arr,1970-01-01T16:11:00Z,-577,AA/ ORD,1995
AA,ORD,arr,1970-01-01T16:21:00Z,-940,AA/ ORD,1995
AA,ORD,arr,1970-01-01T16:31:00Z,-1364,AA/ ORD,1995
AA,ORD,arr,1970-01-01T16:41:00Z,-1237,AA/ ORD,1995
AA,ORD,arr,1970-01-01T16:51:00Z,-591,AA/ ORD,1995
AA,ORD,arr,1970-01-01T17:01:00Z,-658,AA/ ORD,1995
AA,ORD,arr,1970-01-01T17:11:00Z,-1305,AA/ ORD,1995
AA,ORD,arr,1970-01-01T17:21:00Z,-1888,AA/ ORD,1995
AA,ORD,arr,1970-01-01T17:31:00Z,-1999,AA/ ORD,1995
AA,ORD,arr,1970-01-01T17:41:00Z,-1966,AA/ ORD,1995
AA,ORD,arr,1970-01-01T17:51:00Z,-1086,AA/ ORD,1995
AA,ORD,arr,1970-01-01T18:01:00Z,-734,AA/ ORD,1995
AA,ORD,arr,1970-01-01T18:11:00Z,-557,AA/ ORD,1995
AA,ORD,arr,1970-01-01T18:21:00Z,-628,AA/ ORD,1995
AA,ORD,arr,1970-01-01T18:31:00Z,-730,AA/ ORD,1995
AA,ORD,arr,1970-01-01T18:41:00Z,-798,AA/ ORD,1995
AA,ORD,arr,1970-01-01T18:51:00Z,-844,AA/ ORD,1995
AA,ORD,arr,1970-01-01T19:01:00Z,-1172,AA/ ORD,1995
AA,ORD,arr,1970-01-01T19:11:00Z,-1697,AA/ ORD,1995
AA,ORD,arr,1970-01-01T19:21:00Z,-2307,AA/ ORD,1995
AA,ORD,arr,1970-01-01T19:31:00Z,-2354,AA/ ORD,1995
AA,ORD,arr,1970-01-01T19:41:00Z,-1884,AA/ ORD,1995
AA,ORD,arr,1970-01-01T19:51:00Z,-1176,AA/ ORD,1995
AA,ORD,arr,1970-01-01T20:01:00Z,-768,AA/ ORD,1995
AA,ORD,arr,1970-01-01T20:11:00Z,-633,AA/ ORD,1995
AA,ORD,arr,1970-01-01T20:21:00Z,-741,AA/ ORD,1995
AA,ORD,arr,1970-01-01T20:31:00Z,-934,AA/ ORD,1995
