reporting_airline,id,type,airport,x,y
Southwest Airlines,45,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,45,dest,PBI,1982322.2831828392,-1802085.774986376
Southwest Airlines,46,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,46,dest,PHL,2075929.4181951769,-255080.32292677445
Southwest Airlines,47,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,47,dest,PHX,-1115699.3885834513,-1205089.0053395256
Southwest Airlines,48,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,48,dest,PIT,1653058.7188770992,-301571.10045485134
Southwest Airlines,49,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,49,dest,RDU,1892329.2704660424,-772779.4700067013
Southwest Airlines,50,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,50,dest,RIC,1974576.5147112373,-562009.3202353421
Southwest Airlines,51,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,51,dest,RSW,1822839.8385921961,-1854169.26849232
Southwest Airlines,52,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,52,dest,SAN,-1603701.5452417962,-1199220.2306533586
Southwest Airlines,53,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,53,dest,SAT,149495.41162521293,-1713236.8214802423
Southwest Airlines,54,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,54,dest,STL,834066.6669227502,-646449.0468188728
Southwest Airlines,55,origin,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,55,dest,TPA,1720329.790563932,-1713285.848456208
Southwest Airlines,56,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,56,dest,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,57,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,57,dest,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,58,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,58,dest,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,59,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,59,dest,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,60,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,60,dest,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,61,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,61,dest,DAL,295794.1446696455,-1343507.98461109
Southwest Airlines,62,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,62,dest,DCA,1959959.090984065,-409479.41835946374
Southwest Airlines,63,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,63,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,64,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,64,dest,ELP,-605825.3288960081,-1441254.1790057654
Southwest Airlines,65,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,65,dest,EWR,2135095.905011877,-139210.669492847
Southwest Airlines,66,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,66,dest,FLL,1989416.8668556917,-1869685.279595282
Southwest Airlines,67,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,67,dest,HOU,460280.73628586193,-1689712.830489488
Southwest Airlines,68,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,68,dest,HRL,237048.03015074244,-2075075.3380641756
Southwest Airlines,69,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,69,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,70,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,70,dest,LAX,-1689593.4354288722,-1043456.7015018368
Southwest Airlines,71,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,71,dest,LBB,-169260.8260850428,-1256692.0105488796
Southwest Airlines,72,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,72,dest,MCI,455074.4312943624,-619331.8913740775
Southwest Airlines,73,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,73,dest,MCO,1829771.2698870576,-1638824.7811905802
