"airline","airport","arr","dep","yearly_passengers","hub_type"
"WN","MCO",0.655315335948423,0.698248294158008,19022844,"Large"
"WN","MDW",0.730346733597884,0.811635229953012,10820348,"Large"
"WN","MEM",1.20352159689788,1.43602533526441,2122447,"Medium"
"WN","MHT",1.07722742567117,1.49319885769368,971670,"Small"
"WN","MKE",0.758051783994652,1.10962993692659,3417379,"Medium"
"WN","MSP",0.991784391155393,1.1842041091094,17046950,"Large"
"WN","MSY",0.616249358312792,0.698138593275771,6031426,"Medium"
"WN","OAK",0.647488179133469,0.727278655841998,6199519,"Medium"
"WN","OKC",1.0658970075508,1.25044353845999,1956400,"Medium"
"WN","OMA",0.944354773120601,1.06973934500367,2295573,"Medium"
"WN","ONT",0.769520073741203,0.862384923264186,2232571,"Medium"
"WN","ORF",1.62817130657456,1.70366845517432,1715525,"Small"
"WN","PBI",1.453317125643,1.42729451677395,3038458,"Medium"
"WN","PDX",0.784453622905969,0.914008323716104,9091341,"Large"
"WN","PHL",0.876840469631473,1.07602884360468,12609106,"Large"
"WN","PHX",0.710933642675609,0.726715161584404,20580907,"Large"
"WN","PIT",0.899604582930253,1.02093372677174,4245874,"Medium"
"WN","PNS",1.8107187139814,2.211989223693,850198,"Small"
"WN","PVD",1.06230477478521,1.34724002157243,1883749,"Medium"
"WN","PWM",1.92434754957975,2.06788059793299,924703,"Small"
"WN","RDU",0.804745782140894,0.999985304338071,5556987,"Medium"
"WN","RIC",1.92608129810891,2.16632462395625,1819633,"Small"
"WN","RNO",0.810885090883018,0.97999920151688,1944629,"Medium"
"WN","ROC",1.73671299842676,1.75699624935392,1200895,"Small"
"WN","RSW",0.842512110142036,0.981193142398342,4170956,"Medium"
"WN","SAN",0.610881197922892,0.716638553508083,10783376,"Large"
"WN","SAT",0.667011900542947,0.839844244835444,4315831,"Medium"
"WN","SDF",1.04083489287147,1.45250036938,1714412,"Small"
"WN","SEA",0.742127696722547,0.899632536196919,20273105,"Large"
"WN","SFO",0.625043380450786,0.713132694959481,20565622,"Large"
"WN","SJC",0.710846760339982,0.801805402910502,5841651,"Medium"
"WN","SJU",0.934288474270117,1.22363753369232,3484584,"Medium"
"WN","SLC",0.765175213749263,0.852472824423496,11192766,"Large"
"WN","SMF",0.624595107140654,0.724584291322579,5343834,"Medium"
"WN","SNA",0.977833743101494,0.995647548526246,5029430,"Medium"
"WN","STL",1.08099745386461,1.31463212982393,7341336,"Medium"
"WN","TPA",0.608847796702865,0.671097955515787,9198974,"Large"
"WN","TUL",1.27574535424894,1.48768656154401,1407521,"Small"
"WN","TUS",1.01222693843631,1.24959417322194,1677366,"Small"
